location,iso_code,population,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,icu_patients_per_million,hosp_patients_per_million,mortality_rate
Afghanistan,AFG,41128772,207322.0,7845.0,5109.12,193.33,,,,,3.783968898621468
Albania,ALB,2842318,332670.0,3596.0,117650.39,1271.74,,,,,1.0809510926744221
Algeria,DZA,44903228,271194.0,6881.0,5963.27,151.31,,,,,2.5372980228176143
American Samoa,ASM,44295,8266.0,34.0,170908.72,702.99,,,,,0.4113234938301476
Andorra,AND,79843,47686.0,158.0,598153.56,1981.89,,,,,0.3313341441932643
Angola,AGO,35588996,105070.0,1929.0,2948.5,54.13,,,,,1.8359189112020557
Anguilla,AIA,15877,3904.0,12.0,274890.88,844.95,,,,,0.3073770491803279
Antigua and Barbuda,ATG,93772,9106.0,146.0,98071.1,1572.41,,,,,1.6033384581594552
Argentina,ARG,45510324,9891139.0,130124.0,217828.58,2865.67,248.16,76.48,,,1.3155613322186657
Armenia,ARM,2780472,445583.0,8708.0,154668.89,3022.68,,,,,1.9542935883999166
Aruba,ABW,106459,43752.0,280.0,405892.84,2597.6,,,,,0.639970744194551
Australia,AUS,26177410,10694041.0,17816.0,408154.12,679.97,,,4.62,140.01,0.1665974536660183
Austria,AUT,8939617,5678345.0,21571.0,626425.4,2379.68,,,6.82,136.25,0.3798818141553569
Azerbaijan,AZE,10358078,825893.0,10006.0,80220.34,971.9,,,,,1.2115370877341254
Bahamas,BHS,409989,37491.0,833.0,94306.54,2095.37,,,,,2.2218665813128484
Bahrain,BHR,1472237,696614.0,1536.0,454276.25,1001.66,,,,,0.22049513790994724
Bangladesh,BGD,171186368,2037024.0,29439.0,12026.01,173.8,,,,,1.4451965219850134
Barbados,BRB,281646,105515.0,568.0,373737.28,2011.87,,,,,0.5383120883286736
Belarus,BLR,9534956,994037.0,7118.0,108362.68,775.95,,,,,0.7160699249625517
Belgium,BEL,11655923,4679472.0,33240.0,401953.88,2855.22,253.07,78.61,8.15,143.36,0.7103365507903456
Belize,BLZ,405285,69675.0,688.0,173002.0,1708.29,,,,,0.9874416935773234
Benin,BEN,13352864,27985.0,163.0,2033.87,11.85,,,,,0.5824548865463641
Bermuda,BMU,64207,18557.0,152.0,286497.25,2346.69,,,,,0.8190979145335993
