location,iso_code,population,total_deaths_per_million,mortality_rate,health_expenditure_pct_gdp,hospital_beds_per_1000,life_expectancy_years
Afghanistan,AFG,41128772,193.33,3.783968898621468,23.0881691,0.36,66.035
Albania,ALB,2842318,1271.74,1.0809510926744221,6.19368076,2.91,79.602
Algeria,DZA,44903228,151.31,2.5372980228176143,3.6230433,1.63,76.261
American Samoa,ASM,44295,702.99,0.4113234938301476,,,72.852
Andorra,AND,79843,1981.89,0.3313341441932643,7.92821121,,84.041
Angola,AGO,35588996,54.13,1.8359189112020557,2.92737579,0.75,64.617
Antigua and Barbuda,ATG,93772,1572.41,1.6033384581594552,5.7299943,3.29,77.598
Argentina,ARG,45510324,2865.67,1.3155613322186657,9.86305332,3.34,77.395
Armenia,ARM,2780472,3022.68,1.9542935883999166,9.96212864,4.59,77.4658536585366
Aruba,ABW,106459,2597.6,0.639970744194551,,,76.353
Australia,AUS,26177410,679.97,0.1665974536660183,9.92687893,3.84,83.0512195121951
Austria,AUT,8939617,2379.68,0.3798818141553569,10.87779903,7.06,81.5414634146342
Azerbaijan,AZE,10358078,971.9,1.2115370877341254,3.97840643,3.9,74.429
Bahamas,BHS,409989,2095.37,2.2218665813128484,7.21692038,2.68,74.552
Bahrain,BHR,1472237,1001.66,0.22049513790994724,3.83745313,1.74,81.284
Bangladesh,BGD,171186368,173.8,1.4451965219850134,2.39038587,0.88,74.672
Barbados,BRB,281646,2011.87,0.5383120883286736,6.29389191,5.66,76.178
Belarus,BLR,9534956,775.95,0.7160699249625517,6.65919876,9.69,74.1837804878049
Belgium,BEL,11655923,2855.22,0.7103365507903456,10.76192474,5.48,82.3975609756098
Belize,BLZ,405285,1708.29,0.9874416935773234,4.23173904,1.03,73.566
Benin,BEN,13352864,11.85,0.5824548865463641,2.67981386,0.45,60.774
Bermuda,BMU,64207,2346.69,0.8190979145335993,,,82.309
Bhutan,BTN,782457,26.89,0.03358334266203963,4.38545895,2.2,72.975
Bolivia,BOL,12224114,1844.8,1.9428973063664767,8.43142891,1.35,68.581
Bosnia and Herzegovina,BIH,3233530,5061.77,4.045790103750998,8.71644783,2.34,77.85
Botswana,BWA,2630300,1141.85,0.8493099737524807,5.72838593,2.22,69.163
Brazil,BRA,215313504,3293.97,1.9176628764148669,9.14277458,2.46,75.848
British Virgin Islands,VGB,31332,1669.1,0.8761122518822724,,,77.276
Brunei,BRN,449002,325.01,0.055097444297600655,1.81768215,3.87,75.327
Bulgaria,BGR,6781955,5572.34,2.970130804135819,7.66357517,7.77,75.7073170731707
Burkina Faso,BFA,22673764,17.55,1.794965009542852,6.77182007,0.2,61.092
Burundi,BDI,12889583,1.13,0.028817890146202764,8.39522648,0.71,63.651
Cambodia,KHM,16767851,177.66,2.206577854796202,4.71089554,0.74,70.668
Cameroon,CMR,27914542,71.11,1.5847668820014034,4.47835922,2.65,63.7
Canada,CAN,38454328,1247.28,1.081698736815533,11.22370815,2.56,81.6465853658537
Cape Verde,CPV,593162,792.69,0.6520018990346573,6.67440224,1.97,76.059
Cayman Islands,CYM,68722,516.7,0.1175648195221149,,,80.358
Central African Republic,CAF,5579148,22.16,0.7356770833333334,9.95509052,1.0,57.408
